Wrong	Error	Correction
The group were disbanded.	Subject-Verb Agreement	The group was disbanded.
They is not sure about the decision.	Subject-Verb Agreement	They are not sure about the decision.
She don’t see the point.	Subject-Verb Agreement	She doesn’t see the point.
The car was parked in the garage.	Subject-Verb Agreement	The car was parked in the garage.
The children is playing outside.	Subject-Verb Agreement	The children are playing outside.
They don’t have enough money.	Subject-Verb Agreement	They don’t have enough money.
The library is closing early today.	Subject-Verb Agreement	The library is closing early today.
She don’t know what to do.	Subject-Verb Agreement	She doesn’t know what to do.
There are many factors to consider.	Subject-Verb Agreement	There are many factors to consider.
The team are practicing hard.	Subject-Verb Agreement	The team is practicing hard.
She don’t believe in superstitions.	Subject-Verb Agreement	She doesn’t believe in superstitions.
The cat were chasing the mouse.	Subject-Verb Agreement	The cat was chasing the mouse.
There is two options available.	Subject-Verb Agreement	There are two options available.
They was told to wait.	Subject-Verb Agreement	They were told to wait.
He don’t like spicy food.	Subject-Verb Agreement	He doesn’t like spicy food.
The company were successful last year.	Subject-Verb Agreement	The company was successful last year.
There are several issues to address.	Subject-Verb Agreement	There are several issues to address.
The room is very large.	Subject-Verb Agreement	The room is very large.
She don’t understand the concept.	Subject-Verb Agreement	She doesn’t understand the concept.
The answers is all correct.	Subject-Verb Agreement	The answers are all correct.
The teacher are explaining the lesson.	Subject-Verb Agreement	The teacher is explaining the lesson.
He don’t like to travel.	Subject-Verb Agreement	He doesn’t like to travel.
The news were surprising.	Subject-Verb Agreement	The news was surprising.
They is attending the conference.	Subject-Verb Agreement	They are attending the conference.
There is three errors in the report.	Subject-Verb Agreement	There are three errors in the report.
The staff is working overtime.	Subject-Verb Agreement	The staff is working overtime.
They don’t like to swim.	Subject-Verb Agreement	They don’t like to swim.
The report is due tomorrow.	Subject-Verb Agreement	The report is due tomorrow.
She don’t want to go.	Subject-Verb Agreement	She doesn’t want to go.
The players are on the field.	Subject-Verb Agreement	The players are on the field.
He don’t have enough time.	Subject-Verb Agreement	He doesn’t have enough time.
The dogs runs fast.	Subject-Verb Agreement	The dogs run fast.
They was told to leave early.	Subject-Verb Agreement	They were told to leave early.
The party was a success.	Subject-Verb Agreement	The party was a success.
She don’t know how to fix it.	Subject-Verb Agreement	She doesn’t know how to fix it.
The store are closed today.	Subject-Verb Agreement	The store is closed today.
They don’t have the keys.	Subject-Verb Agreement	They don’t have the keys.
The documents is on the desk.	Subject-Verb Agreement	The documents are on the desk.
The class are going on a field trip.	Subject-Verb Agreement	The class is going on a field trip.
She don’t have any questions.	Subject-Verb Agreement	She doesn’t have any questions.
The manager were not happy.	Subject-Verb Agreement	The manager was not happy.
There is too much noise.	Subject-Verb Agreement	There is too much noise.
They is working hard.	Subject-Verb Agreement	They are working hard.
The house was painted last week.	Subject-Verb Agreement	The house was painted last week.
The team have finished their task.	Subject-Verb Agreement	The team has finished their task.
She don’t understand the reason.	Subject-Verb Agreement	She doesn’t understand the reason.
The picture are beautiful.	Subject-Verb Agreement	The picture is beautiful.
They was happy with the result.	Subject-Verb Agreement	They were happy with the result.
The students have completed the exam.	Subject-Verb Agreement	The students have completed the exam.
She don’t believe it.	Subject-Verb Agreement	She doesn’t believe it.
There are several options available.	Subject-Verb Agreement	There are several options available.
The cat were sleeping on the sofa.	Subject-Verb Agreement	The cat was sleeping on the sofa.
They is trying their best.	Subject-Verb Agreement	They are trying their best.
She don’t have any more questions.	Subject-Verb Agreement	She doesn’t have any more questions.
The city were crowded during the festival.	Subject-Verb Agreement	The city was crowded during the festival.
They don’t understand the instructions.	Subject-Verb Agreement	They don’t understand the instructions.
The problem is solved.	Subject-Verb Agreement	The problem is solved.
The project have been completed.	Subject-Verb Agreement	The project has been completed.
She don’t want to miss the flight.	Subject-Verb Agreement	She doesn’t want to miss the flight.
The team is very skilled.	Subject-Verb Agreement	The team is very skilled.
The child are playing outside.	Subject-Verb Agreement	The child is playing outside.
They don’t know the answer.	Subject-Verb Agreement	They don’t know the answer.
The office is open today.	Subject-Verb Agreement	The office is open today.
She don’t have any suggestions.	Subject-Verb Agreement	She doesn’t have any suggestions.
The students were excited about the trip.	Subject-Verb Agreement	The students were excited about the trip.
The homework is due next week.	Subject-Verb Agreement	The homework is due next week.
She don’t know where to go.	Subject-Verb Agreement	She doesn’t know where to go.
The report is on the desk.	Subject-Verb Agreement	The report is on the desk.
They was very late.	Subject-Verb Agreement	They were very late.
The class is large.	Subject-Verb Agreement	The class is large.
She don’t have any problems.	Subject-Verb Agreement	She doesn’t have any problems.
The children are happy.	Subject-Verb Agreement	The children are happy.
They don’t like the new policy.	Subject-Verb Agreement	They don’t like the new policy.
The company are growing rapidly.	Subject-Verb Agreement	The company is growing rapidly.
He go to the store yesterday.	Incorrect Tense Form	He went to the store yesterday.
I have went to the party.	Incorrect Tense Form	I have gone to the party.
She was gone to the store.	Incorrect Tense Form	She had gone to the store.
I have saw that movie before.	Incorrect Tense Form	I have seen that movie before.
He done finished his homework.	Incorrect Tense Form	He has finished his homework.
They was making noise.	Incorrect Tense Form	They were making noise.
I had ate lunch before you arrived.	Incorrect Tense Form	I had eaten lunch before you arrived.
She have wrote a letter.	Incorrect Tense Form	She has written a letter.
We was driving to the beach.	Incorrect Tense Form	We were driving to the beach.
He didn’t went to the concert.	Incorrect Tense Form	He didn’t go to the concert.
She will goes to the meeting tomorrow.	Incorrect Tense Form	She will go to the meeting tomorrow.
I had wrote the report last night.	Incorrect Tense Form	I had written the report last night.
They have ate already.	Incorrect Tense Form	They have eaten already.
He had seen the movie.	Incorrect Tense Form	He had seen the movie.
She was reading a book.	Incorrect Tense Form	She was reading a book.
I have done the homework.	Incorrect Tense Form	I have done the homework.
They will have saw the play.	Incorrect Tense Form	They will have seen the play.
She was ran to the store.	Incorrect Tense Form	She ran to the store.
He done told me the news.	Incorrect Tense Form	He has told me the news.
They were running when it started to rain.	Incorrect Tense Form	They were running when it started to rain.
I have went to the store.	Incorrect Tense Form	I have gone to the store.
She had ate breakfast before leaving.	Incorrect Tense Form	She had eaten breakfast before leaving.
They was laughing during the movie.	Incorrect Tense Form	They were laughing during the movie.
He had saw the film last week.	Incorrect Tense Form	He had seen the film last week.
She had finished her work before the meeting started.	Incorrect Tense Form	She had finished her work before the meeting started.
I had wrote the letter before the meeting.	Incorrect Tense Form	I had written the letter before the meeting.
They have saw the new film.	Incorrect Tense Form	They have seen the new film.
She was writing an email when I called.	Incorrect Tense Form	She was writing an email when I called.
He had gone to the store before dinner.	Incorrect Tense Form	He had gone to the store before dinner.
I have wrote a book.	Incorrect Tense Form	I have written a book.
They were finish with their tasks.	Incorrect Tense Form	They were finished with their tasks.
She had ate lunch already.	Incorrect Tense Form	She had eaten lunch already.
He done did his chores.	Incorrect Tense Form	He has done his chores.
I have seen that movie before.	Incorrect Tense Form	I have seen that movie before.
She had saw him at the store.	Incorrect Tense Form	She had seen him at the store.
They was talking about the project.	Incorrect Tense Form	They were talking about the project.
He will had finished by then.	Incorrect Tense Form	He will have finished by then.
She has wrote three letters.	Incorrect Tense Form	She has written three letters.
They had wrote the report before the deadline.	Incorrect Tense Form	They had written the report before the deadline.
He was spoke to her about the issue.	Incorrect Tense Form	He spoke to her about the issue.
I had seen that film last year.	Incorrect Tense Form	I had seen that film last year.
She had went home before the party started.	Incorrect Tense Form	She had gone home before the party started.
They will have gone by then.	Incorrect Tense Form	They will have gone by then.
He had seen the play already.	Incorrect Tense Form	He had seen the play already.
She has ate her dinner.	Incorrect Tense Form	She has eaten her dinner.
They was excited about the trip.	Incorrect Tense Form	They were excited about the trip.
I had wrote the report yesterday.	Incorrect Tense Form	I had written the report yesterday.
She had went to the store earlier.	Incorrect Tense Form	She had gone to the store earlier.
They were running when it started to rain.	Incorrect Tense Form	They were running when it started to rain.
I will have went to the party.	Incorrect Tense Form	I will have gone to the party.
She done finished her project.	Incorrect Tense Form	She has finished her project.
They had seen the movie last week.	Incorrect Tense Form	They had seen the movie last week.
He was write a letter when I called.	Incorrect Tense Form	He was writing a letter when I called.
I have ate breakfast already.	Incorrect Tense Form	I have eaten breakfast already.
She will have gone by the time you arrive.	Incorrect Tense Form	She will have gone by the time you arrive.
They was working on the project yesterday.	Incorrect Tense Form	They were working on the project yesterday.
He have finished his work.	Incorrect Tense Form	He has finished his work.
I had saw the play before.	Incorrect Tense Form	I had seen the play before.
They will have finished by then.	Incorrect Tense Form	They will have finished by then.
She was eaten her lunch.	Incorrect Tense Form	She was eating her lunch.
He had did his homework already.	Incorrect Tense Form	He had done his homework already.
They has finished their tasks.	Incorrect Tense Form	They have finished their tasks.
I was went to the store.	Incorrect Tense Form	I went to the store.
She will have written the letter by then.	Incorrect Tense Form	She will have written the letter by then.
They had finished the work before the meeting.	Incorrect Tense Form	They had finished the work before the meeting.
He was gone by the time we arrived.	Incorrect Tense Form	He had gone by the time we arrived.
She was writes a letter.	Incorrect Tense Form	She was writing a letter.
I had went to the office.	Incorrect Tense Form	I had gone to the office.
They have did the assignment.	Incorrect Tense Form	They have done the assignment.
She has went home early.	Incorrect Tense Form	She has gone home early.
I had wrote a letter before she came.	Incorrect Tense Form	I had written a letter before she came.
He will had finished his work.	Incorrect Tense Form	He will have finished his work.
They was waiting for the bus.	Incorrect Tense Form	They were waiting for the bus.
She had went to the store before dinner.	Incorrect Tense Form	She had gone to the store before dinner.
I have wrote the report.	Incorrect Tense Form	I have written the report.
They had finished the project already.	Incorrect Tense Form	They had finished the project already.
She was finished with her homework.	Incorrect Tense Form	She was finishing her homework.
He had saw the film before.	Incorrect Tense Form	He had seen the film before.
They have wrote the article.	Incorrect Tense Form	They have written the article.
She had eaten lunch before the meeting started.	Incorrect Tense Form	She had eaten lunch before the meeting started.
She is a best student in the class.	Incorrect Article Usage	She is the best student in the class.
I bought a new car.	Incorrect Article Usage	I bought a new car.
He is an doctor.	Incorrect Article Usage	He is a doctor.
She wants to be an engineer.	Incorrect Article Usage	She wants to be an engineer.
I saw a interesting movie.	Incorrect Article Usage	I saw an interesting movie.
They live in a big house.	Incorrect Article Usage	They live in a big house.
She is the best cook in the town.	Incorrect Article Usage	She is the best cook in town.
He is the best athlete in his school.	Incorrect Article Usage	He is the best athlete in his school.
I need a advice on this matter.	Incorrect Article Usage	I need advice on this matter.
She is the only one who can help.	Incorrect Article Usage	She is the only one who can help.
He has a knowledge of computers.	Incorrect Article Usage	He has knowledge of computers.
I saw a amazing sunset yesterday.	Incorrect Article Usage	I saw an amazing sunset yesterday.
They have a good reputation.	Incorrect Article Usage	They have a good reputation.
He is a honest man.	Incorrect Article Usage	He is an honest man.
She made a decision to move.	Incorrect Article Usage	She made the decision to move.
I need a new pair of shoes.	Incorrect Article Usage	I need a new pair of shoes.
He is an teacher.	Incorrect Article Usage	He is a teacher.
She is the best artist in the city.	Incorrect Article Usage	She is the best artist in the city.
He has an expertise in this field.	Incorrect Article Usage	He has expertise in this field.
I am looking for a place to eat.	Incorrect Article Usage	I am looking for a place to eat.
She has a good sense of humor.	Incorrect Article Usage	She has a good sense of humor.
I have an idea for the project.	Incorrect Article Usage	I have an idea for the project.
She gave me a good advice.	Incorrect Article Usage	She gave me good advice.
They visited a museum.	Incorrect Article Usage	They visited a museum.
I need the assistance of a professional.	Incorrect Article Usage	I need the assistance of a professional.
He is a talented musician.	Incorrect Article Usage	He is a talented musician.
She is a best friend.	Incorrect Article Usage	She is the best friend.
I have a appointment at the doctor’s office.	Incorrect Article Usage	I have an appointment at the doctor’s office.
He is the person I trust.	Incorrect Article Usage	He is the person I trust.
She has an experience in marketing.	Incorrect Article Usage	She has experience in marketing.
I am looking for an answer to the problem.	Incorrect Article Usage	I am looking for an answer to the problem.
They are an excellent team.	Incorrect Article Usage	They are an excellent team.
He is the best candidate for the job.	Incorrect Article Usage	He is the best candidate for the job.
She has a wonderful talent for painting.	Incorrect Article Usage	She has a wonderful talent for painting.
I have a question about the assignment.	Incorrect Article Usage	I have a question about the assignment.
He is the person to talk to.	Incorrect Article Usage	He is the person to talk to.
They are a successful company.	Incorrect Article Usage	They are a successful company.
She is a good dancer.	Incorrect Article Usage	She is a good dancer.
I need an umbrella for the rain.	Incorrect Article Usage	I need an umbrella for the rain.
He is the leader of the team.	Incorrect Article Usage	He is the leader of the team.
She gave me the best advice.	Incorrect Article Usage	She gave me the best advice.
I need the information about the event.	Incorrect Article Usage	I need information about the event.
He is an expert in his field.	Incorrect Article Usage	He is an expert in his field.
They are an amazing team.	Incorrect Article Usage	They are an amazing team.
She is a excellent student.	Incorrect Article Usage	She is an excellent student.
I am going to a conference next week.	Incorrect Article Usage	I am going to a conference next week.
Me and him went to the store.	Incorrect Pronoun Usage	He and I went to the store.
Her gave the book to me.	Incorrect Pronoun Usage	She gave the book to me.
The teacher gave John and I a good grade.	Incorrect Pronoun Usage	The teacher gave John and me a good grade.
Their going to the park tomorrow.	Incorrect Pronoun Usage	They’re going to the park tomorrow.
The cat chased it's tail.	Incorrect Pronoun Usage	The cat chased its tail.
Me and my friend are studying.	Incorrect Pronoun Usage	My friend and I are studying.
Him went to the store.	Incorrect Pronoun Usage	He went to the store.
She gave the book to they.	Incorrect Pronoun Usage	She gave the book to them.
His is a good student.	Incorrect Pronoun Usage	He is a good student.
The team lost because of there mistakes.	Incorrect Pronoun Usage	The team lost because of their mistakes.
I seen her at the mall.	Incorrect Pronoun Usage	I saw her at the mall.
Their excited for the concert.	Incorrect Pronoun Usage	They’re excited for the concert.
"Between you and I, this is a secret."	Incorrect Pronoun Usage	"Between you and me, this is a secret."
The book is missing. I can’t find it anywhere.	Incorrect Pronoun Usage	The book is missing. I can’t find it anywhere.
Us are going to the beach.	Incorrect Pronoun Usage	We are going to the beach.
She is better than me at playing piano.	Incorrect Pronoun Usage	She is better than I am at playing piano.
He is taller than I.	Incorrect Pronoun Usage	He is taller than I am.
The dog wagged its tail.	Incorrect Pronoun Usage	The dog wagged its tail.
They gave the book to she.	Incorrect Pronoun Usage	They gave the book to her.
The car broke down because of its problem.	Incorrect Pronoun Usage	The car broke down because of its problem.
Me and my brother went hiking.	Incorrect Pronoun Usage	My brother and I went hiking.
She is more talented than me.	Incorrect Pronoun Usage	She is more talented than I am.
The teacher gave the assignment to we students.	Incorrect Pronoun Usage	The teacher gave the assignment to us students.
He saw them at the park.	Incorrect Pronoun Usage	He saw them at the park.
The dog chased it's tail.	Incorrect Pronoun Usage	The dog chased its tail.
She said that me should come early.	Incorrect Pronoun Usage	She said that I should come early.
Him and I went to the store yesterday.	Incorrect Pronoun Usage	He and I went to the store yesterday.
She is smarter than me in math.	Incorrect Pronoun Usage	She is smarter than I am in math.
The car needs it’s maintenance.	Incorrect Pronoun Usage	The car needs its maintenance.
Me and my friend went to the movie.	Incorrect Pronoun Usage	My friend and I went to the movie.
I will meet she at the café.	Incorrect Pronoun Usage	I will meet her at the café.
He is more interested in music than I.	Incorrect Pronoun Usage	He is more interested in music than I am.
The students gave the teacher their homework.	Incorrect Pronoun Usage	The students gave the teacher their homework.
The puppy wagged it's tail.	Incorrect Pronoun Usage	The puppy wagged its tail.
She was better at soccer than I.	Incorrect Pronoun Usage	She was better at soccer than I was.
The cat played with its toy.	Incorrect Pronoun Usage	The cat played with its toy.
Us are working on a new project.	Incorrect Pronoun Usage	We are working on a new project.
The teacher gave we students a task.	Incorrect Pronoun Usage	The teacher gave us students a task.
The company changed its policy.	Incorrect Pronoun Usage	The company changed its policy.
She gave the book to I.	Incorrect Pronoun Usage	She gave the book to me.
The dog chased it's tail around the yard.	Incorrect Pronoun Usage	The dog chased its tail around the yard.
"Between you and I, this is a confidential matter."	Incorrect Pronoun Usage	"Between you and me, this is a confidential matter."
"The team played well, but they didn’t win."	Incorrect Pronoun Usage	"The team played well, but they didn’t win."
She is more talented than me in this field.	Incorrect Pronoun Usage	She is more talented than I am in this field.
They were excited about the trip.	Incorrect Pronoun Usage	They were excited about the trip.
I asked them if I could help.	Incorrect Pronoun Usage	I asked them if I could help.
The book is lying on the table.	Incorrect Pronoun Usage	The book is lying on the table.
I will meet her at the café.	Incorrect Pronoun Usage	I will meet her at the café.
The company has changed its policy.	Incorrect Pronoun Usage	The company has changed its policy.
He is very hungry; he needs to eat something.	Incorrect Word Choice	He is very hungry; he needs to eat something.
She completed the exam without any mistake.	Incorrect Word Choice	She completed the exam without any mistakes.
The movie was boring and uninteresting.	Incorrect Word Choice	The movie was boring and dull.
He gave me a compliment about my performance.	Incorrect Word Choice	He gave me a compliment on my performance.
She made a big impression at the conference.	Incorrect Word Choice	She made a great impression at the conference.
I am going to the grocery store to buy some vegetables.	Incorrect Word Choice	I am going to the grocery store to buy some produce.
They are looking forward to their vacation.	Incorrect Word Choice	They are looking forward to their holiday.
She was very proud of her new car.	Incorrect Word Choice	She was very proud of her new vehicle.
The presentation was very helpful and informative.	Incorrect Word Choice	The presentation was very useful and informative.
He was amazed by the beauty of the landscape.	Incorrect Word Choice	He was astonished by the beauty of the landscape.
The dog barked loudly in the night.	Incorrect Word Choice	The dog howled loudly in the night.
She wore a beautiful necklace to the party.	Incorrect Word Choice	She wore a stunning necklace to the party.
He made a lot of mistakes in his report.	Incorrect Word Choice	He made a lot of errors in his report.
The restaurant served delicious food.	Incorrect Word Choice	The restaurant served exquisite food.
She was very disappointed with the result.	Incorrect Word Choice	She was very dissatisfied with the result.
He used a pencil to write the letter.	Incorrect Word Choice	He used a pen to write the letter.
The children were very happy to play in the park.	Incorrect Word Choice	The children were delighted to play in the park.
The teacher explained the concept very clear.	Incorrect Word Choice	The teacher explained the concept very clearly.
She looked at the painting with admiration.	Incorrect Word Choice	She gazed at the painting with admiration.
He found the book very useful.	Incorrect Word Choice	He found the book very helpful.
The phone call was very important.	Incorrect Word Choice	The phone call was very crucial.
She wore a dress that was very attractive.	Incorrect Word Choice	She wore a dress that was very appealing.
The film was really good.	Incorrect Word Choice	The film was really excellent.
The project was completed successfully.	Incorrect Word Choice	The project was finished successfully.
She was very relaxed after the vacation.	Incorrect Word Choice	She was very refreshed after the vacation.
The team made a lot of progress on the project.	Incorrect Word Choice	The team made a lot of advancements on the project.
He was very tired after the long journey.	Incorrect Word Choice	He was exhausted after the long journey.
The cat played with the ball for hours.	Incorrect Word Choice	The cat played with the toy for hours.
She completed the puzzle quickly and accurately.	Incorrect Word Choice	She solved the puzzle quickly and accurately.
The explanation was very clear and precise.	Incorrect Word Choice	The explanation was very clear and exact.
He found the answer to the problem.	Incorrect Word Choice	He found the solution to the problem.
She had a great time at the party.	Incorrect Word Choice	She had an enjoyable time at the party.
The restaurant had a lot of variety on the menu.	Incorrect Word Choice	The restaurant had a lot of options on the menu.
He was looking for a new opportunity.	Incorrect Word Choice	He was searching for a new opportunity.
She was very tired after the long run.	Incorrect Word Choice	She was exhausted after the long run.
The manager was very pleased with the results.	Incorrect Word Choice	The manager was very satisfied with the results.
She received a lot of compliments on her dress.	Incorrect Word Choice	She received many compliments on her dress.
She is interested on learning new languages.	Incorrect Preposition Usage	She is interested in learning new languages.
We will meet at the park in Saturday.	Incorrect Preposition Usage	We will meet at the park on Saturday.
He is good in playing the guitar.	Incorrect Preposition Usage	He is good at playing the guitar.
The book is located on the shelf.	Incorrect Preposition Usage	The book is located in the shelf.
She apologized for being late to the meeting.	Incorrect Preposition Usage	She apologized for being late to the meeting.
They are excited for their upcoming vacation.	Incorrect Preposition Usage	They are excited about their upcoming vacation.
He is responsible for the project.	Incorrect Preposition Usage	He is responsible for the project.
She is married with a doctor.	Incorrect Preposition Usage	She is married to a doctor.
We need to discuss about the new policy.	Incorrect Preposition Usage	We need to discuss the new policy.
The cat jumped off the table.	Incorrect Preposition Usage	The cat jumped from the table.
I’m waiting for the bus at the station.	Incorrect Preposition Usage	I’m waiting for the bus at the station.
She is skilled with graphic design.	Incorrect Preposition Usage	She is skilled in graphic design.
He is allergic for peanuts.	Incorrect Preposition Usage	He is allergic to peanuts.
The car broke down on the way to the beach.	Incorrect Preposition Usage	The car broke down on the way to the beach.
She is responsible of the new project.	Incorrect Preposition Usage	She is responsible for the new project.
They are waiting for the result of the test.	Incorrect Preposition Usage	They are waiting for the result of the test.
He is known for his kindness.	Incorrect Preposition Usage	He is known for his kindness.
The kids are playing in the garden.	Incorrect Preposition Usage	The kids are playing in the garden.
She is fond on classical music.	Incorrect Preposition Usage	She is fond of classical music.
He succeeded in passing the exam.	Incorrect Preposition Usage	He succeeded in passing the exam.
She is excited about the new job opportunity.	Incorrect Preposition Usage	She is excited about the new job opportunity.
They are arriving at the airport in 10 minutes.	Incorrect Preposition Usage	They are arriving at the airport in 10 minutes.
I am looking forward to meet you.	Incorrect Preposition Usage	I am looking forward to meeting you.
The hotel is situated in the center of the city.	Incorrect Preposition Usage	The hotel is situated in the center of the city.
She is allergic for strawberries.	Incorrect Preposition Usage	She is allergic to strawberries.
He was responsible for the mistake.	Incorrect Preposition Usage	He was responsible for the mistake.
The book is on the table in the living room.	Incorrect Preposition Usage	The book is on the table in the living room.
I am interested in learning more about history.	Incorrect Preposition Usage	I am interested in learning more about history.
She is married with her college sweetheart.	Incorrect Preposition Usage	She is married to her college sweetheart.
The kids are playing in the yard.	Incorrect Preposition Usage	The kids are playing in the yard.
He is talented in drawing.	Incorrect Preposition Usage	He is talented at drawing.
The meeting will be held on Monday.	Incorrect Preposition Usage	The meeting will be held on Monday.
I’m looking forward to your reply.	Incorrect Preposition Usage	I’m looking forward to your reply.
She is known for her cooking skills.	Incorrect Preposition Usage	She is known for her cooking skills.
The dog is sitting under the table.	Incorrect Preposition Usage	The dog is sitting under the table.
She had went to the store before dinner.	Incorrect Tense Form	She had gone to the store before dinner.
I have wrote the report.	Incorrect Tense Form	I have written the report.
They had finished the project already.	Incorrect Tense Form	They had finished the project already.
She was finished with her homework.	Incorrect Tense Form	She was finishing her homework.
He had saw the film before.	Incorrect Tense Form	He had seen the film before.
They have wrote the article.	Incorrect Tense Form	They have written the article.
She had eaten lunch before the meeting started.	Incorrect Tense Form	She had eaten lunch before the meeting started.
She is a best student in the class.	Incorrect Article Usage	She is the best student in the class.
I bought a new car.	Incorrect Article Usage	I bought a new car.
He is an doctor.	Incorrect Article Usage	He is a doctor.
She wants to be an engineer.	Incorrect Article Usage	She wants to be an engineer.
I saw a interesting movie.	Incorrect Article Usage	I saw an interesting movie.
They live in a big house.	Incorrect Article Usage	They live in a big house.
She is the best cook in the town.	Incorrect Article Usage	She is the best cook in town.
He is the best athlete in his school.	Incorrect Article Usage	He is the best athlete in his school.
I need a advice on this matter.	Incorrect Article Usage	I need advice on this matter.
She is the only one who can help.	Incorrect Article Usage	She is the only one who can help.
He has a knowledge of computers.	Incorrect Article Usage	He has knowledge of computers.
I saw a amazing sunset yesterday.	Incorrect Article Usage	I saw an amazing sunset yesterday.
They have a good reputation.	Incorrect Article Usage	They have a good reputation.
He is a honest man.	Incorrect Article Usage	He is an honest man.
She made a decision to move.	Incorrect Article Usage	She made the decision to move.
I need a new pair of shoes.	Incorrect Article Usage	I need a new pair of shoes.
He is an teacher.	Incorrect Article Usage	He is a teacher.
She is the best artist in the city.	Incorrect Article Usage	She is the best artist in the city.
He has an expertise in this field.	Incorrect Article Usage	He has expertise in this field.
I am looking for a place to eat.	Incorrect Article Usage	I am looking for a place to eat.
She has a good sense of humor.	Incorrect Article Usage	She has a good sense of humor.
I have an idea for the project.	Incorrect Article Usage	I have an idea for the project.
She gave me a good advice.	Incorrect Article Usage	She gave me good advice.
They visited a museum.	Incorrect Article Usage	They visited a museum.
I need the assistance of a professional.	Incorrect Article Usage	I need the assistance of a professional.
He is a talented musician.	Incorrect Article Usage	He is a talented musician.
She is a best friend.	Incorrect Article Usage	She is the best friend.
I have a appointment at the doctor’s office.	Incorrect Article Usage	I have an appointment at the doctor’s office.
He is the person I trust.	Incorrect Article Usage	He is the person I trust.
She has an experience in marketing.	Incorrect Article Usage	She has experience in marketing.
I am looking for an answer to the problem.	Incorrect Article Usage	I am looking for an answer to the problem.
They are an excellent team.	Incorrect Article Usage	They are an excellent team.
He is the best candidate for the job.	Incorrect Article Usage	He is the best candidate for the job.
She has a wonderful talent for painting.	Incorrect Article Usage	She has a wonderful talent for painting.
I have a question about the assignment.	Incorrect Article Usage	I have a question about the assignment.
He is the person to talk to.	Incorrect Article Usage	He is the person to talk to.
